Field of Study,Current Occupation,Age,Gender,Years of Experience,Education Level,Industry Growth Rate,Job Satisfaction,Work-Life Balance,Job Opportunities,Salary,Job Security,Career Change Interest,Skills Gap,Certifications,Freelancing Experience,Geographic Mobility,Professional Networks,Career Change Events,Technology Adoption,Likely to Change Occupation,Education Level (ord),Industry Growth Rate (ord)
Psychology,Lawyer,29.0,Female,32.0,Master's,High,10.0,9.0,32.0,107929.0,8.0,1.0,9.0,0.0,0.0,0.0,7.0,0.0,7.0,1.0,2.0,2.0
Computer Science,Artist,41.0,Female,31.0,High School,High,5.0,9.0,80.0,180240.0,2.0,0.0,10.0,0.0,1.0,0.0,10.0,1.0,10.0,0.0,0.0,2.0
Psychology,Psychologist,32.0,Female,21.0,PhD,Low,1.0,8.0,98.0,134588.0,1.0,0.0,10.0,0.0,1.0,0.0,10.0,1.0,10.0,1.0,3.0,0.0
Business,Teacher,23.0,Female,21.0,Bachelor's,Low,2.0,7.0,67.0,49822.0,5.0,0.0,4.0,0.0,0.0,0.0,9.0,1.0,6.0,1.0,1.0,0.0
Business,Biologist,23.0,Female,4.0,Master's,Low,7.0,6.0,29.0,177408.0,9.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0
Economics,Business Analyst,59.0,Male,39.0,High School,Low,2.0,8.0,17.0,124280.0,7.0,1.0,9.0,1.0,0.0,0.0,3.0,1.0,9.0,1.0,0.0,0.0
Medicine,Software Developer,52.0,Male,6.0,Bachelor's,High,7.0,8.0,8.0,61531.0,3.0,0.0,6.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,1.0,2.0
Business,Doctor,20.0,Male,27.0,High School,Low,1.0,7.0,93.0,155917.0,2.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,9.0,1.0,0.0,0.0
Economics,Software Developer,38.0,Male,35.0,PhD,High,10.0,4.0,39.0,116767.0,8.0,0.0,6.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,3.0,2.0
Biology,Business Analyst,58.0,Male,21.0,High School,Medium,5.0,3.0,25.0,129634.0,8.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0
Medicine,Psychologist,59.0,Female,35.0,Bachelor's,Medium,8.0,5.0,20.0,143152.0,7.0,1.0,4.0,1.0,0.0,0.0,2.0,2.0,7.0,1.0,1.0,1.0
Arts,Economist,24.0,Male,4.0,Bachelor's,Medium,10.0,6.0,36.0,137757.0,3.0,1.0,5.0,0.0,0.0,0.0,9.0,1.0,3.0,1.0,1.0,1.0
Psychology,Software Developer,31.0,Male,31.0,Bachelor's,Medium,6.0,7.0,60.0,94104.0,5.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0
Economics,Psychologist,28.0,Female,3.0,High School,Medium,5.0,2.0,13.0,139558.0,2.0,0.0,5.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,1.0
Psychology,Software Developer,51.0,Male,20.0,Bachelor's,Medium,2.0,7.0,5.0,62707.0,8.0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,1.0
Psychology,Mechanical Engineer,59.0,Female,33.0,High School,Low,6.0,3.0,99.0,167004.0,4.0,1.0,9.0,1.0,0.0,1.0,5.0,0.0,9.0,1.0,0.0,0.0
Education,Economist,50.0,Male,10.0,Bachelor's,Low,9.0,4.0,16.0,182997.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0
Medicine,Economist,46.0,Female,24.0,Bachelor's,Medium,1.0,3.0,85.0,179606.0,3.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,8.0,1.0,1.0,1.0
Law,Lawyer,33.0,Female,12.0,Master's,Low,10.0,5.0,86.0,177716.0,10.0,0.0,5.0,0.0,1.0,0.0,7.0,0.0,2.0,0.0,2.0,0.0
Biology,Mechanical Engineer,49.0,Male,18.0,Bachelor's,Medium,1.0,5.0,92.0,104942.0,4.0,1.0,6.0,1.0,0.0,0.0,9.0,1.0,7.0,1.0,1.0,1.0
Psychology,Teacher,35.0,Male,5.0,Bachelor's,Medium,5.0,9.0,45.0,139899.0,8.0,0.0,9.0,1.0,0.0,0.0,7.0,0.0,10.0,0.0,1.0,1.0
Business,Mechanical Engineer,50.0,Male,31.0,Bachelor's,High,9.0,10.0,53.0,84115.0,1.0,0.0,3.0,1.0,0.0,0.0,9.0,1.0,1.0,0.0,1.0,2.0
Computer Science,Economist,20.0,Male,32.0,Bachelor's,High,6.0,1.0,92.0,132865.0,7.0,0.0,4.0,1.0,0.0,0.0,6.0,2.0,10.0,0.0,1.0,2.0
Computer Science,Software Developer,57.0,Male,23.0,Master's,Low,3.0,10.0,27.0,109475.0,8.0,1.0,9.0,0.0,0.0,1.0,6.0,1.0,10.0,1.0,2.0,0.0
Economics,Economist,42.0,Female,4.0,Bachelor's,High,4.0,4.0,39.0,31880.71,1.0,0.0,7.0,0.0,0.0,0.0,6.0,2.0,7.0,1.0,1.0,2.0
Business,Psychologist,47.0,Male,22.0,Master's,Low,3.0,5.0,88.0,71052.0,6.0,1.0,6.0,1.0,0.0,0.0,3.0,1.0,8.0,1.0,2.0,0.0
Economics,Teacher,55.0,Female,6.0,Master's,High,1.0,3.0,57.0,97612.0,6.0,1.0,8.0,0.0,0.0,0.0,4.0,2.0,9.0,1.0,2.0,2.0
Law,Business Analyst,48.0,Male,2.0,High School,Low,2.0,6.0,13.0,171858.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,0.0
Business,Lawyer,32.0,Female,18.0,High School,Low,3.0,8.0,27.0,159665.0,8.0,1.0,8.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0,0.0
Biology,Mechanical Engineer,36.0,Male,28.0,PhD,Low,6.0,8.0,6.0,153522.0,4.0,0.0,10.0,0.0,1.0,1.0,6.0,0.0,8.0,0.0,3.0,0.0
Psychology,Doctor,31.0,Male,10.0,Master's,Low,9.0,5.0,10.0,111224.0,1.0,1.0,9.0,0.0,0.0,0.0,9.0,1.0,10.0,1.0,2.0,0.0
Economics,Psychologist,27.0,Female,33.0,PhD,High,5.0,3.0,15.0,94407.0,7.0,0.0,10.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,3.0,2.0
Mechanical Engineering,Biologist,37.0,Female,29.0,Bachelor's,Low,9.0,5.0,62.0,55484.0,3.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0
Law,Teacher,42.0,Female,29.0,High School,High,5.0,1.0,54.0,198174.0,6.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0
Economics,Biologist,44.0,Female,14.0,Master's,High,4.0,3.0,13.0,160399.0,6.0,0.0,5.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0
Computer Science,Biologist,39.0,Male,31.0,PhD,Medium,7.0,6.0,41.0,37113.0,9.0,1.0,5.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,3.0,1.0
Biology,Business Analyst,52.0,Female,19.0,Master's,Medium,7.0,7.0,37.0,175611.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0
Psychology,Biologist,38.0,Female,39.0,PhD,High,5.0,6.0,60.0,150227.0,5.0,0.0,6.0,1.0,0.0,0.0,4.0,1.0,4.0,0.0,3.0,2.0
Economics,Teacher,42.0,Male,3.0,High School,Low,3.0,1.0,78.0,64060.0,7.0,0.0,8.0,1.0,0.0,0.0,6.0,2.0,7.0,1.0,0.0,0.0
Economics,Doctor,20.0,Male,29.0,Master's,High,7.0,2.0,30.0,180701.0,7.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0
Computer Science,Biologist,42.0,Female,22.0,High School,Low,6.0,7.0,76.0,182738.0,8.0,0.0,5.0,0.0,1.0,0.0,4.0,2.0,7.0,0.0,0.0,0.0
Medicine,Lawyer,35.0,Male,22.0,Bachelor's,Low,6.0,10.0,19.0,66915.0,10.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,1.0,0.0
Computer Science,Teacher,23.0,Female,25.0,High School,High,5.0,4.0,37.0,63830.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,10.0,1.0,0.0,2.0
Computer Science,Economist,22.0,Male,32.0,Bachelor's,Low,8.0,7.0,12.0,186006.0,8.0,0.0,6.0,0.0,0.0,0.0,9.0,2.0,10.0,0.0,1.0,0.0
Business,Psychologist,53.0,Male,39.0,High School,High,8.0,3.0,8.0,59224.0,2.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,10.0,0.0,0.0,2.0
Biology,Teacher,46.0,Male,24.0,High School,Medium,2.0,6.0,90.0,194185.0,4.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0
Medicine,Teacher,51.0,Male,17.0,High School,High,3.0,2.0,4.0,161291.0,9.0,0.0,7.0,0.0,0.0,0.0,10.0,1.0,8.0,1.0,0.0,2.0
Education,Lawyer,49.0,Female,35.0,Master's,Medium,8.0,10.0,47.0,98556.0,5.0,0.0,9.0,1.0,0.0,1.0,2.0,2.0,8.0,0.0,2.0,1.0
Psychology,Software Developer,26.0,Female,26.0,Bachelor's,High,1.0,9.0,43.0,97738.0,6.0,0.0,3.0,0.0,0.0,0.0,6.0,2.0,1.0,1.0,1.0,2.0
Business,Software Developer,52.0,Female,13.0,Bachelor's,Low,7.0,6.0,51.0,48754.0,5.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0,7.0,1.0,1.0,0.0
Mechanical Engineering,Software Developer,33.0,Male,28.0,Bachelor's,High,1.0,1.0,91.0,113229.0,2.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,3.0,1.0,1.0,2.0
Economics,Business Analyst,27.0,Male,7.0,High School,High,3.0,9.0,6.0,186521.0,10.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,4.0,1.0,0.0,2.0
Computer Science,Lawyer,47.0,Male,27.0,Master's,Medium,2.0,9.0,57.0,113300.0,2.0,0.0,8.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,2.0,1.0
Medicine,Psychologist,31.0,Male,15.0,PhD,Medium,7.0,3.0,19.0,126754.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,3.0,1.0
Biology,Economist,22.0,Male,2.0,High School,High,5.0,9.0,23.0,193029.0,2.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,2.0
Computer Science,Biologist,46.0,Female,21.0,PhD,Low,2.0,4.0,99.0,41237.0,6.0,0.0,4.0,1.0,0.0,1.0,7.0,0.0,9.0,1.0,3.0,0.0
Education,Mechanical Engineer,56.0,Male,10.0,PhD,Medium,1.0,7.0,15.0,160543.0,8.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,10.0,1.0,3.0,1.0
Computer Science,Business Analyst,50.0,Female,32.0,Bachelor's,Medium,4.0,4.0,11.0,152487.0,4.0,0.0,4.0,0.0,1.0,0.0,10.0,2.0,5.0,1.0,1.0,1.0
Mechanical Engineering,Mechanical Engineer,30.0,Female,15.0,Bachelor's,Medium,6.0,8.0,48.0,138015.0,6.0,0.0,4.0,0.0,0.0,0.0,10.0,2.0,9.0,0.0,1.0,1.0
Economics,Software Developer,57.0,Female,24.0,High School,High,5.0,5.0,24.0,148900.0,6.0,0.0,10.0,0.0,1.0,1.0,7.0,2.0,2.0,0.0,0.0,2.0
Economics,Doctor,29.0,Female,26.0,Master's,Medium,9.0,2.0,31.0,143726.0,3.0,1.0,6.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,2.0,1.0
Arts,Biologist,24.0,Female,14.0,PhD,Medium,8.0,7.0,44.0,41679.0,6.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,3.0,1.0
Economics,Lawyer,47.0,Male,30.0,Bachelor's,High,2.0,10.0,81.0,188895.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,1.0,2.0
Arts,Software Developer,28.0,Female,23.0,High School,Medium,1.0,7.0,58.0,98883.0,2.0,0.0,7.0,0.0,0.0,1.0,6.0,0.0,5.0,1.0,0.0,1.0
Law,Doctor,55.0,Male,29.0,Bachelor's,Medium,7.0,10.0,75.0,166760.0,6.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,7.0,0.0,1.0,1.0
Arts,Biologist,33.0,Female,35.0,High School,Medium,4.0,6.0,70.0,156716.0,7.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0
Computer Science,Lawyer,38.0,Male,7.0,Bachelor's,Medium,8.0,9.0,88.0,138091.0,7.0,1.0,4.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
Biology,Business Analyst,38.0,Female,20.0,Master's,Low,5.0,9.0,19.0,34909.0,6.0,0.0,1.0,1.0,0.0,1.0,7.0,1.0,9.0,1.0,2.0,0.0
Computer Science,Economist,29.0,Male,25.0,Bachelor's,Medium,2.0,9.0,45.0,184473.0,9.0,0.0,8.0,0.0,0.0,0.0,10.0,0.0,4.0,1.0,1.0,1.0
Economics,Economist,56.0,Female,30.0,Master's,High,7.0,5.0,4.0,108372.0,6.0,0.0,3.0,1.0,0.0,0.0,10.0,1.0,2.0,0.0,2.0,2.0
Education,Doctor,42.0,Female,37.0,High School,High,3.0,4.0,16.0,75371.0,7.0,0.0,6.0,0.0,0.0,0.0,6.0,2.0,7.0,1.0,0.0,2.0
Psychology,Teacher,44.0,Male,32.0,Master's,High,5.0,5.0,11.0,183876.0,2.0,0.0,5.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,2.0
Arts,Economist,31.0,Female,32.0,PhD,Low,1.0,8.0,59.0,84547.0,9.0,1.0,8.0,0.0,0.0,0.0,7.0,1.0,3.0,1.0,3.0,0.0
Psychology,Biologist,42.0,Female,31.0,PhD,Low,4.0,8.0,51.0,116078.0,7.0,1.0,3.0,0.0,0.0,0.0,5.0,2.0,2.0,1.0,3.0,0.0
Arts,Teacher,25.0,Female,16.0,High School,Low,8.0,5.0,44.0,82382.0,10.0,0.0,10.0,0.0,0.0,0.0,6.0,1.0,6.0,0.0,0.0,0.0
Mechanical Engineering,Software Developer,27.0,Male,8.0,Master's,Medium,7.0,6.0,62.0,49455.0,7.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,7.0,1.0,2.0,1.0
Psychology,Biologist,27.0,Male,16.0,Bachelor's,High,8.0,6.0,51.0,35162.0,8.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,2.0
Economics,Software Developer,43.0,Female,32.0,Master's,High,8.0,1.0,64.0,113198.0,1.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,2.0,2.0
Economics,Artist,42.0,Female,16.0,High School,Low,7.0,7.0,45.0,91805.0,6.0,0.0,2.0,1.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0
Biology,Business Analyst,44.0,Male,2.0,Bachelor's,Low,1.0,2.0,48.0,107898.0,7.0,0.0,4.0,0.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,0.0
Computer Science,Doctor,25.0,Female,0.0,Master's,Medium,6.0,10.0,93.0,123770.0,8.0,0.0,7.0,0.0,0.0,1.0,4.0,0.0,9.0,0.0,2.0,1.0
Computer Science,Biologist,34.0,Female,13.0,High School,Low,2.0,5.0,11.0,190522.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,8.0,1.0,0.0,0.0
Medicine,Business Analyst,58.0,Female,38.0,High School,Low,5.0,5.0,71.0,186883.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,0.0
Biology,Business Analyst,21.0,Male,34.0,Master's,Low,7.0,4.0,53.0,39205.0,10.0,1.0,5.0,0.0,0.0,1.0,9.0,0.0,1.0,1.0,2.0,0.0
Arts,Teacher,21.0,Male,22.0,Bachelor's,Low,9.0,2.0,35.0,104984.0,6.0,0.0,9.0,1.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,0.0
Medicine,Artist,32.0,Male,23.0,PhD,High,8.0,8.0,99.0,169926.0,4.0,0.0,10.0,1.0,1.0,0.0,2.0,2.0,9.0,0.0,3.0,2.0
Economics,Business Analyst,33.0,Female,23.0,High School,Low,10.0,2.0,83.0,161444.0,6.0,0.0,5.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0
Psychology,Lawyer,36.0,Male,34.0,High School,Medium,1.0,2.0,22.0,140955.0,10.0,0.0,4.0,1.0,0.0,0.0,8.0,1.0,3.0,1.0,0.0,1.0
Medicine,Teacher,39.0,Male,21.0,High School,Low,3.0,6.0,87.0,38614.0,5.0,0.0,7.0,0.0,0.0,0.0,3.0,1.0,7.0,1.0,0.0,0.0
Biology,Doctor,35.0,Female,20.0,Master's,Medium,5.0,8.0,94.0,180629.0,6.0,0.0,10.0,0.0,0.0,0.0,6.0,1.0,6.0,0.0,2.0,1.0
Biology,Teacher,44.0,Male,21.0,PhD,High,10.0,10.0,17.0,110449.0,4.0,0.0,10.0,0.0,1.0,1.0,9.0,0.0,7.0,0.0,3.0,2.0
Arts,Lawyer,59.0,Male,38.0,High School,Medium,2.0,8.0,50.0,53681.0,7.0,0.0,7.0,0.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,1.0
Law,Biologist,59.0,Female,38.0,Master's,High,9.0,2.0,19.0,198471.21,10.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,5.0,0.0,2.0,2.0
Law,Artist,22.0,Male,1.0,Bachelor's,Low,2.0,1.0,27.0,69718.0,1.0,0.0,7.0,1.0,0.0,0.0,4.0,0.0,5.0,1.0,1.0,0.0
Education,Biologist,37.0,Male,22.0,Bachelor's,Medium,4.0,7.0,48.0,117864.0,1.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,1.0,1.0
Computer Science,Software Developer,52.0,Female,35.0,Bachelor's,Low,9.0,3.0,20.0,153754.0,5.0,1.0,2.0,0.0,0.0,0.0,6.0,0.0,7.0,1.0,1.0,0.0
Business,Biologist,26.0,Male,1.0,Master's,High,8.0,8.0,74.0,90013.0,9.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,8.0,0.0,2.0,2.0
Psychology,Business Analyst,49.0,Male,21.0,PhD,High,9.0,9.0,16.0,110823.0,5.0,0.0,4.0,1.0,0.0,1.0,9.0,2.0,9.0,0.0,3.0,2.0
Law,Psychologist,38.0,Female,33.0,PhD,Low,10.0,3.0,99.0,172862.0,6.0,0.0,7.0,0.0,1.0,0.0,5.0,1.0,2.0,0.0,3.0,0.0
Psychology,Psychologist,49.0,Male,24.0,High School,Low,6.0,4.0,45.0,120244.0,6.0,0.0,9.0,0.0,0.0,0.0,9.0,2.0,5.0,0.0,0.0,0.0
Business,Economist,41.0,Male,0.0,PhD,High,5.0,10.0,99.0,110802.0,6.0,1.0,2.0,0.0,0.0,0.0,6.0,2.0,10.0,1.0,3.0,2.0
Medicine,Biologist,45.0,Male,24.0,High School,High,4.0,4.0,56.0,154225.0,7.0,1.0,10.0,0.0,0.0,1.0,6.0,2.0,3.0,1.0,0.0,2.0
Business,Business Analyst,29.0,Male,22.0,Master's,High,4.0,9.0,52.0,42512.0,8.0,0.0,2.0,1.0,0.0,0.0,10.0,0.0,4.0,1.0,2.0,2.0
Medicine,Biologist,37.0,Male,39.0,Bachelor's,Low,5.0,3.0,55.0,178102.0,7.0,0.0,4.0,0.0,1.0,1.0,4.0,1.0,10.0,0.0,1.0,0.0
Business,Biologist,46.0,Male,0.0,High School,High,5.0,1.0,55.0,35158.0,4.0,0.0,4.0,1.0,0.0,0.0,4.0,2.0,7.0,1.0,0.0,2.0
Education,Lawyer,22.0,Male,27.0,PhD,Low,4.0,6.0,80.0,181136.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,3.0,0.0
Medicine,Lawyer,44.0,Female,10.0,High School,High,8.0,10.0,63.0,59858.0,6.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,2.0
Education,Mechanical Engineer,33.0,Male,37.0,High School,High,7.0,10.0,98.0,74214.0,1.0,0.0,3.0,0.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,2.0
Education,Psychologist,23.0,Male,9.0,Master's,High,6.0,3.0,45.0,133217.0,6.0,0.0,6.0,0.0,1.0,0.0,5.0,2.0,2.0,0.0,2.0,2.0
Business,Lawyer,33.0,Male,32.0,PhD,Low,5.0,6.0,66.0,68551.0,7.0,1.0,7.0,1.0,0.0,0.0,6.0,2.0,6.0,1.0,3.0,0.0
Psychology,Artist,36.0,Male,39.0,High School,Medium,5.0,6.0,85.0,75753.0,5.0,0.0,7.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,1.0
Mechanical Engineering,Business Analyst,46.0,Male,0.0,Master's,High,8.0,4.0,6.0,61803.0,4.0,0.0,7.0,0.0,0.0,1.0,8.0,2.0,7.0,0.0,2.0,2.0
Business,Business Analyst,53.0,Male,37.0,High School,Low,3.0,3.0,93.0,64636.0,1.0,0.0,9.0,1.0,0.0,0.0,5.0,1.0,8.0,1.0,0.0,0.0
Medicine,Artist,59.0,Female,22.0,PhD,Low,9.0,10.0,35.0,32693.0,9.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,0.0
Biology,Software Developer,39.0,Male,13.0,High School,High,6.0,5.0,74.0,47672.0,1.0,1.0,6.0,1.0,0.0,1.0,8.0,1.0,10.0,1.0,0.0,2.0
Psychology,Psychologist,23.0,Male,11.0,Master's,Low,6.0,7.0,3.0,112946.0,7.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,2.0,0.0
Medicine,Economist,47.0,Female,1.0,PhD,High,3.0,1.0,48.0,163499.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,4.0,1.0,3.0,2.0
Economics,Biologist,35.0,Male,17.0,High School,High,2.0,8.0,29.0,100804.0,7.0,1.0,2.0,1.0,0.0,1.0,4.0,1.0,3.0,1.0,0.0,2.0
Computer Science,Biologist,55.0,Female,22.0,PhD,Low,2.0,10.0,73.0,65447.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,3.0,0.0
Law,Artist,26.0,Female,27.0,High School,Medium,7.0,2.0,84.0,87434.0,7.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,0.0,0.0,1.0
Law,Lawyer,40.0,Female,30.0,Master's,Medium,2.0,10.0,84.0,91458.0,9.0,0.0,6.0,1.0,0.0,0.0,2.0,2.0,6.0,1.0,2.0,1.0
Computer Science,Economist,24.0,Female,20.0,High School,Medium,1.0,6.0,25.0,35036.0,2.0,0.0,6.0,1.0,1.0,0.0,8.0,0.0,1.0,1.0,0.0,1.0
Law,Business Analyst,58.0,Male,12.0,Master's,Medium,4.0,5.0,87.0,103490.0,3.0,0.0,9.0,1.0,0.0,0.0,4.0,0.0,7.0,1.0,2.0,1.0
Law,Biologist,58.0,Male,33.0,Bachelor's,Medium,3.0,6.0,64.0,94206.0,10.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,3.0,1.0,1.0,1.0
Medicine,Economist,49.0,Male,6.0,PhD,High,7.0,9.0,66.0,89065.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,10.0,1.0,3.0,2.0
Law,Biologist,59.0,Male,14.0,High School,Medium,8.0,1.0,11.0,43863.0,1.0,0.0,4.0,1.0,0.0,1.0,10.0,2.0,7.0,1.0,0.0,1.0
Law,Lawyer,41.0,Female,17.0,Master's,Low,8.0,5.0,91.0,84020.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,7.0,1.0,2.0,0.0
Mechanical Engineering,Teacher,48.0,Female,38.0,Bachelor's,High,8.0,6.0,78.0,66898.0,8.0,0.0,5.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0
Education,Lawyer,35.0,Female,37.0,High School,High,4.0,6.0,99.0,190922.0,9.0,0.0,6.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0,2.0
Biology,Business Analyst,45.0,Female,6.0,Bachelor's,Low,8.0,1.0,32.0,121082.0,2.0,1.0,6.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,1.0,0.0
Medicine,Software Developer,55.0,Female,22.0,High School,Low,3.0,5.0,9.0,97887.0,2.0,0.0,7.0,1.0,0.0,1.0,5.0,0.0,10.0,1.0,0.0,0.0
Business,Mechanical Engineer,56.0,Female,35.0,Bachelor's,High,9.0,9.0,91.0,81624.0,8.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0
Education,Artist,36.0,Male,2.0,Bachelor's,Low,7.0,3.0,79.0,99921.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,1.0,0.0
Economics,Lawyer,52.0,Female,4.0,PhD,Medium,8.0,2.0,74.0,177624.0,10.0,1.0,7.0,0.0,0.0,0.0,7.0,2.0,5.0,1.0,3.0,1.0
Computer Science,Business Analyst,48.0,Male,6.0,PhD,High,10.0,4.0,43.0,40660.0,3.0,0.0,5.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,3.0,2.0
Arts,Mechanical Engineer,47.0,Male,1.0,PhD,Medium,9.0,1.0,82.0,90943.0,10.0,0.0,10.0,0.0,0.0,1.0,8.0,1.0,4.0,0.0,3.0,1.0
Medicine,Artist,57.0,Female,2.0,Bachelor's,Low,1.0,1.0,3.0,160125.0,5.0,1.0,3.0,0.0,0.0,0.0,9.0,1.0,7.0,1.0,1.0,0.0
Psychology,Software Developer,23.0,Male,24.0,PhD,Medium,2.0,1.0,53.0,95954.0,9.0,0.0,2.0,0.0,0.0,1.0,10.0,1.0,1.0,1.0,3.0,1.0
Computer Science,Lawyer,31.0,Female,10.0,Bachelor's,Medium,8.0,1.0,85.0,89785.0,5.0,1.0,8.0,0.0,0.0,1.0,4.0,1.0,9.0,1.0,1.0,1.0
Arts,Doctor,53.0,Male,26.0,Bachelor's,Medium,5.0,2.0,27.0,56523.0,1.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,1.0,1.0
Economics,Lawyer,31.0,Female,15.0,Master's,Low,9.0,3.0,11.0,153742.0,5.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,8.0,0.0,2.0,0.0
Biology,Software Developer,21.0,Male,12.0,Bachelor's,High,7.0,4.0,9.0,73982.0,9.0,0.0,9.0,1.0,0.0,0.0,4.0,2.0,6.0,0.0,1.0,2.0
Medicine,Teacher,50.0,Female,24.0,Bachelor's,Low,3.0,5.0,34.0,195598.0,8.0,0.0,5.0,1.0,0.0,1.0,9.0,1.0,1.0,1.0,1.0,0.0
Economics,Lawyer,21.0,Female,29.0,PhD,Low,7.0,3.0,10.0,76526.0,8.0,0.0,2.0,0.0,0.0,1.0,8.0,1.0,1.0,0.0,3.0,0.0
Business,Mechanical Engineer,48.0,Female,6.0,High School,High,10.0,8.0,4.0,182527.0,5.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,8.0,0.0,0.0,2.0
Arts,Lawyer,29.0,Male,14.0,High School,High,2.0,3.0,73.0,53602.0,1.0,0.0,10.0,0.0,0.0,1.0,8.0,1.0,4.0,1.0,0.0,2.0
Business,Business Analyst,51.0,Female,1.0,Master's,High,5.0,4.0,50.0,37208.0,1.0,0.0,4.0,0.0,0.0,1.0,10.0,0.0,9.0,1.0,2.0,2.0
